Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;21/09/05;Getafe;Mallorca;1;1;D;1;0;H;16;12;5;3;24;17;3;4;3;2;0;0;1.9;3.25;4.0;1.87;3.21;3.87;1.93;1.78;1.96;1.9
SP1;21/09/05;La Coruna;Betis;1;1;D;1;1;D;17;11;6;3;21;19;5;1;5;5;0;0;2.0;3.3;3.5;2.0;3.15;3.44;2.01;1.7;1.83;2.05
SP1;21/09/05;Malaga;Alaves;0;0;D;0;0;D;13;6;4;1;25;14;4;5;2;2;1;0;1.83;3.3;4.33;1.86;3.21;3.91;2.02;1.69;1.9;1.95
SP1;21/09/05;Santander;Espanol;1;0;H;0;0;D;13;11;7;3;19;19;7;4;3;5;0;1;2.3;3.25;2.87;2.36;3.13;2.74;2.03;1.68;2.08;1.8
SP1;21/09/05;Sevilla;Cadiz;0;0;D;0;0;D;25;3;4;1;20;17;14;6;3;6;0;0;1.57;3.6;6.0;1.58;3.43;5.54;2.02;1.7;2.01;1.87
SP1;21/09/05;Sociedad;Ath Madrid;3;2;H;0;2;A;21;14;9;6;16;25;7;4;2;3;0;0;2.37;3.2;2.8;2.43;3.13;2.65;1.98;1.73;1.84;1.99
SP1;21/09/05;Villarreal;Celta;1;2;A;0;1;A;14;11;4;5;17;16;3;5;1;2;0;0;1.66;3.6;5.0;1.66;3.37;4.83;1.89;1.82;1.85;2.02
SP1;21/09/05;Zaragoza;Osasuna;3;1;H;0;0;D;22;6;11;3;20;17;3;1;2;3;0;0;1.8;3.25;4.33;1.81;3.23;4.1;2.01;1.7;1.87;1.98
SP1;22/09/05;Real Madrid;Ath Bilbao;3;1;H;0;1;A;16;21;9;5;19;20;6;4;1;5;1;0;1.44;4.0;7.5;1.41;3.9;7.07;1.71;1.99;2.11;1.76
SP1;24/09/05;Ath Madrid;Getafe;0;1;A;0;0;D;12;12;4;4;21;27;8;2;3;4;0;1;1.66;3.4;5.5;1.64;3.38;5.04;2.02;1.71;1.87;2.01
SP1;24/09/05;Betis;Barcelona;1;4;A;1;1;D;9;23;5;10;19;17;1;7;4;2;1;0;3.4;3.25;2.1;3.19;3.2;2.08;1.92;1.8;1.88;1.99
SP1;24/09/05;Espanol;Villarreal;1;2;A;0;1;A;9;13;3;4;9;12;8;3;1;1;0;0;2.3;3.2;3.0;2.29;3.15;2.86;2.09;1.65;2.1;1.78
SP1;24/09/05;Valencia;Sociedad;2;1;H;1;0;H;11;11;8;4;20;12;5;8;2;1;0;0;1.5;3.75;7.0;1.48;3.55;6.55;1.79;1.93;1.88;1.94
SP1;24/09/05;Zaragoza;La Coruna;1;1;D;1;1;D;15;16;7;5;22;15;8;7;2;1;0;0;2.4;3.25;2.8;2.36;3.13;2.77;1.97;1.74;2.06;1.82
SP1;25/09/05;Alaves;Real Madrid;0;3;A;0;0;D;17;20;6;7;17;24;7;10;1;3;0;0;6.0;3.4;1.61;5.12;3.42;1.61;1.78;1.94;2.02;1.85
SP1;25/09/05;Ath Bilbao;Santander;0;0;D;0;0;D;17;5;3;1;16;29;17;5;3;6;0;0;1.72;3.3;5.0;1.7;3.34;4.65;1.96;1.76;1.78;2.09
SP1;25/09/05;Celta;Sevilla;2;1;H;2;0;H;12;9;5;3;22;24;4;6;2;5;0;0;2.2;3.2;3.25;2.24;3.13;2.94;2.1;1.64;2.07;1.81
SP1;25/09/05;Mallorca;Malaga;1;4;A;0;2;A;14;9;7;5;24;22;8;2;0;1;0;0;2.1;3.25;3.4;2.09;3.19;3.21;1.99;1.74;1.86;2.01
SP1;25/09/05;Osasuna;Cadiz;2;0;H;1;0;H;19;3;7;0;27;13;5;5;4;2;0;0;1.9;3.25;4.0;1.86;3.21;3.91;2.14;1.62;2.0;1.85
SP1;01/10/05;Barcelona;Zaragoza;2;2;D;0;0;D;22;7;7;3;16;23;1;2;4;3;0;1;1.33;4.5;9.5;1.31;4.37;8.56;1.7;2.02;2.0;1.83
SP1;01/10/05;Getafe;Valencia;2;1;H;1;1;D;12;9;6;2;25;24;2;0;1;4;0;1;2.6;3.2;2.62;2.71;3.11;2.4;2.04;1.68;2.01;1.82
